Depth (m),Lithology,Cutting Description,Rate of Penetration,Rotation Per Minute,Mud Log Value,Gamma Ray,Resistivity,US/ft
10.0,Shale,"Grayish-brown shale; fine-grained, soft, with slight oil show and dull luster.",8.5,120.5,10.5,180,25,120
91.0,Shale,"Dark gray shale; very fine-grained, soft, homogeneous, with minor oil staining.",8.7,121.0,10.7,180,25,120
92.0,Limestone,"White limestone; thick-bedded, coarse, highly indurated, with visible fossils and high hardness.",8.9,121.5,10.9,30,100,100
93.0,Sandstone,"Buff silty sandstone; medium-bedded, moderately cemented, with clay streaks and moderate hardness.",9.0,122.0,11.0,90,80,80
94.0,Shale,"Grayish-brown shale; fine-grained, soft, with slight oil show and dull luster.",8.5,120.5,10.5,180,25,120
95.0,Limestone,"Light gray limestone; massive, coarse-grained, well-indurated, containing fossil fragments.",8.7,121.0,10.7,30,100,100
96.0,Sandstone,"Buff silty sandstone; medium-bedded, moderately cemented, with clay streaks and moderate hardness.",8.9,121.5,10.9,90,80,80
97.0,Shale,"Dark gray shale; very fine-grained, soft, homogeneous, with minor oil staining.",9.0,122.0,11.0,180,25,120
98.0,Limestone,"White limestone; thick-bedded, coarse, highly indurated, with visible fossils and high hardness.",8.5,120.5,10.5,30,100,100
99.0,Siltstone,"Reddish-brown siltstone; fine-grained, soft, poorly cemented, with an earthy texture.",8.7,121.0,10.7,120,70,110
100.0,Shale,"Grayish-brown shale; fine-grained, soft, with slight oil show and dull luster.",8.9,121.5,10.9,180,25,120
101.0,Limestone,"Light gray limestone; massive, coarse-grained, well-indurated, containing fossil fragments.",9.0,122.0,11.0,30,100,100
102.0,Sandstone,"Buff silty sandstone; medium-bedded, moderately cemented, with clay streaks and moderate hardness.",8.5,120.5,10.5,90,80,80
103.0,Shale,"Dark gray shale; very fine-grained, soft, homogeneous, with minor oil staining.",8.7,121.0,10.7,180,25,120
104.0,Limestone,"White limestone; thick-bedded, coarse, highly indurated, with visible fossils and high hardness.",8.9,121.5,10.9,30,100,100
105.0,Siltstone,"Reddish-brown siltstone; fine-grained, soft, poorly cemented, with an earthy texture.",9.0,122.0,11.0,120,70,110
106.0,Shale,"Grayish-brown shale; fine-grained, soft, with slight oil show and dull luster.",8.5,120.5,10.5,180,25,120
107.0,Limestone,"Light gray limestone; massive, coarse-grained, well-indurated, containing fossil fragments.",8.7,121.0,10.7,30,100,100
108.0,Sandstone,"Buff silty sandstone; medium-bedded, moderately cemented, with clay streaks and moderate hardness.",8.9,121.5,10.9,90,80,80
109.0,Shale,"Dark gray shale; very fine-grained, soft, homogeneous, with minor oil staining.",9.0,122.0,11.0,180,25,120
